"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"11","B1_Mur2:Alu:SINE","B1_Mur2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur2",417.738830449854,-0.0616207330552177,0.34153212529474,0.83950227606948,"Not Sig."
"12","B1_Mur3:Alu:SINE","B1_Mur3:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur3",434.297773137368,-0.0609474814902995,0.351026508638539,0.842618942196493,"Not Sig."
"13","B1_Mur4:Alu:SINE","B1_Mur4:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur4",408.27102442062,-0.0759288734949352,0.217144352671472,0.792502549179573,"Not Sig."
"14","B1_Mus1:Alu:SINE","B1_Mus1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus1",1329.23378908861,-0.0893876122761451,0.232782880728756,0.808476167240174,"Not Sig."
"15","B1_Mus2:Alu:SINE","B1_Mus2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus2",1077.93901181616,-0.0814137942408188,0.278457917843254,0.825449032914936,"Not Sig."
"16","B1F:Alu:SINE","B1F:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F",551.744967226928,-0.0490788943156185,0.428501084053876,0.89145734961972,"Not Sig."
"17","B1F1:Alu:SINE","B1F1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F1",250.638977315766,-0.0554017419119187,0.333770496537803,0.83950227606948,"Not Sig."
"18","B1F2:Alu:SINE","B1F2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F2",264.899480134424,-0.0318493178893122,0.598603306060136,0.929254356749164,"Not Sig."
"19","B2_Mm1a:B2:SINE","B2_Mm1a:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1a",399.140774447867,-0.177029660506227,0.0309768401746778,0.399131812162793,"Not Sig."
"20","B2_Mm1t:B2:SINE","B2_Mm1t:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1t",478.535809962671,-0.120018402038672,0.101661801140266,0.642372813810429,"Not Sig."
"21","B2_Mm2:B2:SINE","B2_Mm2:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm2",1332.47782007673,-0.100886732449856,0.161494054609108,0.717261149692025,"Not Sig."
"22","B3:B2:SINE","B3:B2:SINE",TRUE,"SINE","SINE/B2","B3",2255.8016671782,-0.0585033520659444,0.398805810901319,0.883070009852921,"Not Sig."
"23","B3A:B2:SINE","B3A:B2:SINE",TRUE,"SINE","SINE/B2","B3A",1189.37650074474,-0.0277056311791676,0.665298387179318,0.933737075956913,"Not Sig."
"24","B4:B4:SINE","B4:B4:SINE",TRUE,"SINE","SINE/B4","B4",780.748671554237,0.0314503898870074,0.60251683221407,0.930718369418157,"Not Sig."
"25","B4A:B4:SINE","B4A:B4:SINE",TRUE,"SINE","SINE/B4","B4A",1222.52724345554,-0.040782545632398,0.525368170011878,0.906067469809518,"Not Sig."
