"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"3130","Cxcl14","ENSMUSG00000021508",FALSE,"Cxcl14",57266,37.454399480987,-0.489082505942963,0.136346621908272,0.441744154132897,"Not Sig."
"3131","Cxcl16","ENSMUSG00000018920",FALSE,"Cxcl16",66102,45.6669679958205,0.604352661045795,0.0296026112097656,0.214340393123401,"Not Sig."
"3132","Cxcl2","ENSMUSG00000058427",FALSE,"Cxcl2",20310,3.46830447755114,0.0654911547370764,0.803107165414416,0.9331763504734,"Not Sig."
"3133","Cxcl3","ENSMUSG00000029379",FALSE,"Cxcl3",330122,0.326216744134979,-0.551533815113283,0.260620625412761,0.588215888277912,"Not Sig."
"3134","Cxcl5","ENSMUSG00000029371",FALSE,"Cxcl5",20311,6.15482966258656,1.4570279890813,0.00662607656926335,0.110420078618053,"Not Sig."
"3135","Cxcr3","ENSMUSG00000050232",FALSE,"Cxcr3",12766,0.815955478391888,0.992291854732019,0.0459670160370262,0.266165207725154,"Not Sig."
"3136","Cxcr4","ENSMUSG00000045382",FALSE,"Cxcr4",12767,22.2930660698515,0.868065618616915,0.0242934978247074,0.193203861820986,"Not Sig."
"3137","Cxcr5","ENSMUSG00000047880",FALSE,"Cxcr5",12145,2.06974481459015,0.180873058329514,0.377951115406463,0.690479751406109,"Not Sig."
"3138","Cxcr6","ENSMUSG00000048521",FALSE,"Cxcr6",80901,0.701014208622183,-0.375193126232768,0.217575607204664,0.545212543824648,"Not Sig."
"3139","Cxxc1","ENSMUSG00000024560",FALSE,"Cxxc1",74322,37.954212500708,-0.0981872305789321,0.216051196455991,0.543993718313147,"Not Sig."
"3140","Cxxc5","ENSMUSG00000046668",FALSE,"Cxxc5",67393,40.1662392724819,-0.174357309116147,0.169142201330939,0.486342565997086,"Not Sig."
"3141","Cyb561","ENSMUSG00000019590",FALSE,"Cyb561",13056,2.72593481172447,-0.511264879257902,0.0186858856226249,0.170956121006192,"Not Sig."
"3142","Cyb561a3","ENSMUSG00000034445",FALSE,"Cyb561a3",225912,27.7683268239069,0.0178033198739763,0.892815093986285,0.967831939971723,"Not Sig."
"3143","Cyb561d1","ENSMUSG00000048796",FALSE,"Cyb561d1",72023,6.633780682106,0.143637899593305,0.448707850932297,0.742343390563421,"Not Sig."
"3144","Cyb561d2","ENSMUSG00000037190",FALSE,"Cyb561d2",56368,8.48925097009288,0.192133095909604,0.253933899148248,0.581655975773183,"Not Sig."
"3145","Cyb5a","ENSMUSG00000024646",FALSE,"Cyb5a",109672,73.8456333198275,0.226793282340394,0.0496279044677471,0.27790895066353,"Not Sig."
"3146","Cyb5b","ENSMUSG00000031924",FALSE,"Cyb5b",66427,154.33663411403,0.235310688882765,0.0655728086487643,0.3162694698415,"Not Sig."
"3147","Cyb5d1","ENSMUSG00000044795",FALSE,"Cyb5d1",327951,12.1057166070416,-0.0712297386263011,0.461036337749614,0.748993079756134,"Not Sig."
"3148","Cyb5d2","ENSMUSG00000057778",FALSE,"Cyb5d2",192986,9.32374504606643,0.052536205032515,0.746232156251937,0.906482255720672,"Not Sig."
"3149","Cyb5r1","ENSMUSG00000026456",FALSE,"Cyb5r1",72017,75.3572457113956,-0.217982732801581,0.173474368489179,0.492520727124704,"Not Sig."
"3150","Cyb5r2","ENSMUSG00000048065",FALSE,"Cyb5r2",320635,0.379392495215369,-0.103466131675157,0.838023672166734,0.946278911597935,"Not Sig."
